transaction_id,store_id,transaction_timestamp,cashier_id,customer_id,payment_method,total_amount,discount_amount,tax_amount
POS000023,27,10/09/2024 13:49,C0372,CUST03455,Cash,963.32,186.0,74.07
POS000024,2,2024-11-24 08:48:52,,CUST07803,DEBIT,458.81,137.85,42.25
POS000025,16,09-29-2024 07:24 AM,C0075,CUST07123,Credit,259.33,27.28,14.94
POS000026,10,2024-08-17,C0022,,Mobile Pay,250.92,33.88,14.22
POS000027,21,2024/06/30 13:39,C0137,CUST04184,CASH,381.57,34.28,39.67
POS000028,15,2024-12-11,C0267,,credit,723.64,48.45,36.44
POS000029,11,2024-10-07 00:43:00,,,CREDIT,981.31,1.01,68.78
POS000030,22,2024/08/16 11:14,C0018,,CREDIT,1014.51,29.7,84.35
POS000031,2,31/10/2024 21:57,C0327,,CREDIT,763.08,97.06,45.64
POS000032,3,2024-11-05,C0095,CUST03019,DEBIT,436.56,23.59,34.87
POS000033,10,08-27-2024 09:59 PM,C0142,CUST05299,DEBIT,1235.47,48.92,89.26
POS000034,6,02-07-2024 08:49 AM,C0031,,DEBIT,417.24,122.97,25.41
POS000035,6,13/08/2024 02:31,C0092,CUST01777,credit,699.04,185.28,78.67
POS000036,18,2024-08-08 06:39:41,C0367,,Credit,1990.41,170.14,111.48
POS000037,3,02-06-2024 06:46 PM,,CUST00015,Credit,920.75,56.33,58.01
POS000038,22,2024/07/18 08:09,C0295,,Gift Card,97.6,20.12,9.77
POS000039,16,2024-08-11 12:54:46,C0002,,Gift Card,455.12,42.21,43.19
POS000040,4,2024/10/17 17:59,C0206,,CREDIT,796.58,211.8,58.77
POS000041,12,09-30-2024 10:05 AM,C0149,CUST02894,Mobile Pay,366.21,114.63,21.87
POS000042,2,07-15-2024 09:12 PM,C0323,CUST07971,CREDIT,736.53,165.26,80.75
POS000043,29,19/11/2024 14:47,,,Debit,1220.05,344.17,136.68
POS000044,16,2024/07/18 02:50,C0495,CUST07362,Credit,1272.97,135.5,81.77
POS000045,2,2024-06-22 01:21:50,C0109,CUST08571,Gift Card,707.58,38.52,69.03
POS000046,22,01/10/2024 04:47,C0019,CUST08011,Credit,655.33,116.92,62.26
POS000047,16,12/11/2024 01:15,,CUST05036,CREDIT,458.7,22.19,24.32
POS000048,15,2024-11-08 05:53:37,C0055,,Debit,1037.22,4.12,72.37
POS000049,3,04-13-2024 01:21 PM,C0500,CUST08944,credit,632.4,31.57,56.49
POS000050,11,2024/04/19 01:37,,,CASH,898.16,23.51,60.06
POS000051,6,12-22-2024 11:35 AM,C0298,,CREDIT,1084.21,24.42,90.8
POS000052,26,19/11/2024 19:24,,CUST00105,Credit,1436.88,75.97,144.13
POS000053,6,2024/02/15 22:41,C0414,CUST07799,credit,837.76,123.03,87.41
POS000054,7,03-14-2024 08:17 PM,C0481,,Credit,709.15,144.4,70.82
POS000055,20,2024-04-02 22:31:39,C0401,,CASH,707.55,179.19,57.5
POS000056,1,2024-10-12,C0317,,Mobile Pay,1250.97,36.62,141.59
POS000057,17,22/04/2024 14:49,C0100,,credit,218.53,56.31,22.25
POS000058,22,2024-08-30 15:11:10,,,Debit,849.73,163.57,94.43
POS000059,14,05-08-2024 10:39 AM,,CUST08805,credit,415.06,114.02,20.97
POS000060,6,2024-01-15 15:32:07,C0370,CUST09499,Cash,773.49,24.3,80.31
POS000061,14,2024/04/11 23:43,C0057,,CREDIT,883.65,58.47,69.33
POS000062,8,30/07/2024 06:24,,CUST00891,CASH,1135.88,179.58,126.5
POS000063,5,04-20-2024 07:29 PM,C0235,CUST05876,DEBIT,852.18,173.86,55.23
POS000064,7,2024-06-20,,,Gift Card,156.74,26.05,10.41
POS000065,15,02/08/2024 05:48,C0310,,credit,81.41,8.13,4.98
POS000066,19,2024-10-10,C0111,CUST07582,DEBIT,164.97,36.83,11.46
POS000067,1,07/08/2024 23:55,C0297,,credit,641.15,70.95,31.12
POS000068,30,2024-10-20 00:26:02,C0376,CUST00551,CASH,771.06,2.42,76.78
POS000069,17,2024-07-20 15:51:51,C0124,,Credit,109.46,25.94,5.66
POS000070,23,2024/07/27 06:08,C0047,,DEBIT,793.65,201.54,42.55
POS000071,6,2024-12-26,,CUST02272,CASH,913.22,269.63,79.09
POS000072,6,2024-07-08 20:29:45,C0037,,Cash,438.73,90.43,24.45
POS000073,17,2024/01/17 09:27,C0314,CUST03394,CREDIT,402.22,34.01,44.94
POS000074,20,2024-06-20,C0346,,Credit,1385.32,30.76,157.59
POS000075,4,2024-07-15 11:29:39,C0090,CUST01098,Mobile Pay,283.86,15.05,28.92
POS000076,23,2024-04-14,C0245,CUST09505,Debit,345.67,1.22,30.37
POS000077,25,2024/04/25 10:22,C0217,,CREDIT,1262.09,180.39,115.39
POS000078,12,2024-06-25,C0241,CUST08731,DEBIT,547.9,75.44,54.06
POS000079,15,2024-11-13 11:51:43,C0453,CUST01314,CASH,1235.6,188.52,128.29
POS000080,29,01/04/2024 09:04,C0357,,credit,618.93,86.07,30.19
POS000081,28,2024/04/14 16:40,C0350,CUST02164,Gift Card,1281.09,23.09,95.82
POS000082,12,2024-08-03 14:47:41,C0033,,Debit,394.21,94.48,20.15
POS000083,27,2024-09-23,C0331,CUST07966,Mobile Pay,694.14,140.29,39.13
POS000084,27,2024-10-07,C0405,,DEBIT,226.36,21.99,22.91
POS000085,8,2024-09-04 11:18:49,C0146,CUST02726,credit,205.54,20.58,11.78
POS000086,23,01/10/2024 09:11,C0060,,Cash,503.91,6.83,47.7
POS000087,19,05/03/2024 14:16,C0363,,Cash,574.52,72.58,33.06
POS000088,12,16/03/2024 11:28,C0063,CUST06629,Gift Card,574.37,133.63,47.11
POS000089,25,15/03/2024 14:59,,CUST08314,Cash,313.17,2.68,36.02
POS000090,21,2024/12/27 09:30,C0387,CUST09400,credit,699.83,179.04,80.31
POS000091,26,10-16-2024 11:58 PM,C0058,CUST00657,credit,340.12,11.13,21.87
POS000092,22,10-09-2024 03:19 AM,C0113,CUST01516,Cash,992.61,37.08,82.71
POS000093,2,2024-11-07,C0480,CUST03207,Credit,174.95,48.91,18.89
POS000094,3,2024-10-02 14:43:42,C0202,,Cash,454.69,71.6,36.69
POS000095,20,2024/11/05 16:03,C0367,CUST06057,CASH,231.05,48.44,20.64
POS000096,12,2024/01/07 09:22,C0448,CUST03534,Gift Card,1165.65,10.03,87.74
POS000097,24,07-31-2024 02:18 PM,C0213,,CREDIT,202.07,20.17,21.98
POS000098,5,2024-04-16,C0034,CUST09678,CASH,384.5,98.53,37.72
POS000099,3,2024/01/04 13:40,C0285,CUST09305,credit,501.55,18.48,38.4
POS003493,7,04-05-2024 12:18 PM,,CUST09589,DEBIT,498.26,35.05,34.11
POS000101,16,2024-10-13 23:29:14,C0079,,Gift Card,652.81,77.26,41.19
POS000102,4,11-30-2024 09:57 PM,C0465,CUST04010,Credit,1214.14,222.3,109.84
POS000103,4,2024/05/21 15:04,C0290,CUST04226,Gift Card,133.66,15.16,7.28
POS000104,23,2024-03-02,,,Credit,303.87,34.58,22.49
POS000105,5,12/06/2024 14:56,C0028,,CASH,735.47,69.15,48.5
POS000106,21,2024-07-01,C0040,CUST03003,CREDIT,924.85,76.13,53.76
POS000107,20,2024/03/26 17:20,C0351,CUST04448,Cash,1015.31,7.46,68.03
POS000108,4,30/09/2024 18:22,,CUST06112,Gift Card,865.34,55.42,46.05
POS000109,14,23/06/2024 05:06,C0426,,Mobile Pay,274.32,26.91,23.85
POS000110,20,2024-12-19,C0411,,Gift Card,1188.83,115.55,128.6
POS000111,30,2024-02-09 03:52:08,C0160,CUST02278,Gift Card,513.86,10.22,38.83
POS000112,29,01/11/2024 16:48,C0015,CUST01944,Debit,1019.22,192.15,59.36
POS000113,5,2024/12/21 04:44,C0067,CUST06961,CREDIT,438.04,110.38,23.26
POS000114,3,2024-01-10 15:48:27,C0017,CUST08413,Credit,432.39,123.65,40.01
POS000115,16,2024/03/01 08:02,C0387,,CREDIT,727.45,18.13,47.76
POS000116,30,04/11/2024 06:37,C0180,,credit,607.0,69.41,34.32
POS000117,28,22/05/2024 18:22,C0400,CUST03963,Mobile Pay,421.38,96.57,32.36
POS000118,19,2024-02-04 03:52:37,C0367,,DEBIT,1379.45,85.07,93.02
POS000119,6,02/10/2024 00:46,C0436,CUST06005,credit,459.8,90.36,27.85
POS000120,15,2024/12/10 03:11,C0218,,Debit,536.45,90.59,34.02
POS000121,14,2024-02-27 10:07:29,C0254,CUST04724,Mobile Pay,325.63,59.31,26.15
POS000122,24,2024-01-21 02:20:31,C0234,CUST05112,Gift Card,871.95,86.49,46.12
POS000123,8,10-10-2024 01:18 PM,C0036,CUST07794,Cash,308.49,0.97,35.25
POS000124,6,2024-01-07 21:31:43,C0268,CUST01393,CREDIT,704.14,181.27,66.96
POS000125,5,2024-07-21 12:44:37,C0457,CUST01061,Cash,437.8,46.99,30.82
POS000126,7,06-22-2024 06:38 AM,C0430,CUST08178,DEBIT,1118.4,189.62,101.26
POS000127,25,10-24-2024 06:17 PM,C0342,CUST06627,Gift Card,582.75,4.08,29.94
POS000128,17,2024-05-22 04:49:29,C0251,CUST02206,Credit,684.95,108.47,60.57
POS000129,4,2024-01-28 02:31:43,C0196,CUST05357,credit,756.95,20.68,56.37
POS000130,10,2024-11-14 19:06:48,C0267,CUST07636,Debit,1052.86,139.63,82.02
POS000131,10,2024/12/04 15:31,C0415,CUST08956,Credit,590.34,158.82,33.54
POS000132,25,2024-01-17 13:56:58,C0162,CUST07251,Gift Card,1014.5,34.14,86.97
POS000133,2,2024/01/17 05:35,C0085,CUST02204,DEBIT,257.59,16.42,13.25
POS000134,23,2024-07-18,C0338,CUST08838,Gift Card,578.8,115.64,59.85
POS000135,16,10-14-2024 05:32 AM,C0303,CUST05780,DEBIT,628.17,49.9,51.36
POS000136,11,01/02/2024 00:37,C0179,CUST09568,Credit,555.88,21.33,32.95
POS000137,25,11-16-2024 10:24 AM,C0183,CUST00925,Debit,1026.85,219.55,90.54
POS000138,8,2024-04-30 20:19:37,C0034,CUST01876,Cash,1351.43,163.99,119.63
POS000139,6,01-11-2024 05:20 PM,C0217,CUST06901,DEBIT,347.0,73.78,33.2
POS000140,1,2024/12/22 15:37,C0200,,CREDIT,1448.13,267.87,125.72
POS000141,26,07/09/2024 03:44,C0258,CUST05564,credit,301.25,89.93,21.33
POS000142,20,06-02-2024 11:27 AM,C0499,CUST08780,Debit,435.86,22.28,37.75
POS000143,10,05-15-2024 01:19 AM,C0320,CUST01507,CREDIT,580.08,67.68,48.77
POS000144,19,2024-06-21,C0108,,CREDIT,245.89,22.94,18.7
POS000145,21,06-03-2024 04:51 PM,C0161,,CASH,358.2,110.6,22.0
POS000146,9,2024-11-15,C0010,CUST08458,credit,496.29,37.07,37.82
POS000147,19,09-12-2024 06:42 AM,C0327,CUST07107,Credit,570.64,43.93,63.69
POS000148,17,12/04/2024 11:29,C0351,CUST07134,CASH,1040.16,89.81,60.61
POS000149,11,02-02-2024 08:13 PM,C0147,CUST04202,Debit,621.03,139.01,35.45
POS000150,13,2024-05-02 03:09:12,C0424,,Gift Card,240.16,64.03,16.98
POS000151,18,2024-08-11 13:41:57,C0140,,DEBIT,200.89,12.59,14.83
POS000152,26,2024-05-22 21:35:11,C0249,CUST00907,CREDIT,432.59,37.33,31.53
POS000153,11,11-04-2024 09:55 AM,C0344,CUST01480,CASH,1114.23,136.75,88.83
POS000154,27,2024-03-12,C0268,CUST09510,Mobile Pay,490.67,114.05,25.18
POS000155,9,2024-09-11 02:15:38,C0161,,CASH,485.58,40.76,46.24
POS000156,26,2024-04-30 13:13:09,C0497,,CASH,465.71,7.73,36.58
POS000157,9,2024/10/28 01:31,C0058,,CASH,215.73,0.36,14.12
POS000158,16,15/12/2024 07:17,C0367,,DEBIT,236.31,68.16,26.99
POS000159,1,2024-11-26 19:02:53,C0404,CUST04145,Mobile Pay,845.0,159.39,55.16
POS000160,13,2024-06-07 20:44:23,C0122,CUST06365,Credit,306.5,83.23,30.41
POS000161,30,20/07/2024 08:19,C0441,CUST07191,Cash,425.64,103.14,44.7
POS000162,29,2024/11/25 13:50,C0422,CUST08056,Gift Card,628.17,136.14,63.68
POS000163,24,2024-07-30 10:45:27,C0358,,CREDIT,522.93,52.03,49.38
POS000164,12,2024-08-03,C0233,CUST00854,credit,591.89,9.55,50.89
POS000165,21,08-15-2024 08:08 PM,C0157,,CREDIT,269.4,14.83,29.4
POS000166,4,21/03/2024 07:33,C0352,CUST05234,Gift Card,1035.72,272.03,78.39
POS000167,16,2024-03-09,C0410,,CREDIT,645.79,11.23,59.34
POS000168,14,07-07-2024 05:25 AM,C0453,CUST00340,Credit,1102.44,71.02,104.54
POS000169,30,12/10/2024 20:39,C0499,CUST04290,credit,702.0,203.6,57.12
POS000170,2,2024/07/24 19:27,C0491,,CREDIT,887.08,22.13,88.77
POS000171,1,09-26-2024 01:49 PM,C0254,,Debit,563.55,110.08,47.94
POS000172,7,05-16-2024 09:47 AM,C0439,,Debit,930.9,228.6,64.69
POS000173,27,05-24-2024 11:43 PM,C0406,,DEBIT,1659.58,166.31,180.89
POS000174,9,30/04/2024 19:28,C0351,CUST01405,Credit,953.64,237.32,56.21
POS000175,16,09/03/2024 10:44,C0363,CUST09785,DEBIT,700.73,203.38,79.2
POS000176,3,2024/02/18 17:03,C0242,CUST09935,Credit,1073.32,17.27,85.59
POS000177,1,2024/05/09 16:39,C0344,,Mobile Pay,238.36,33.88,20.62
POS000178,2,2024-10-24,C0174,CUST02162,CREDIT,667.92,118.31,68.39
POS000179,11,2024/12/29 16:27,C0023,CUST08180,DEBIT,400.96,123.79,28.23
POS000180,24,2024/07/03 13:18,C0390,CUST08471,Cash,597.26,72.12,67.01
POS000181,14,25/03/2024 10:47,C0473,CUST07209,Credit,972.65,289.06,62.4
POS000182,7,2024-03-17 01:14:11,C0084,CUST07151,CREDIT,1196.59,21.13,113.73
POS000183,29,2024-09-10,C0253,,credit,690.43,174.78,33.19
POS000184,4,2024/06/27 02:13,C0087,CUST04470,Debit,1159.84,240.08,97.46
POS000185,19,03/01/2024 16:49,C0040,,Gift Card,654.24,165.45,41.23
POS000186,22,2024-02-18 10:01:18,C0303,CUST01738,Cash,560.97,107.85,53.05
POS000187,5,01-15-2024 02:29 AM,C0490,,Credit,1017.37,201.55,93.42
POS000188,11,2024/01/23 20:39,C0376,CUST09326,credit,581.4,103.59,30.86
POS000189,7,2024-01-25 20:18:20,C0281,CUST06249,CREDIT,739.11,18.72,76.25
POS000190,13,05-10-2024 05:15 AM,,CUST02670,CASH,323.91,5.39,30.08
POS000191,25,25/07/2024 09:41,C0252,CUST05081,credit,337.57,64.09,17.37
POS000192,12,2024-12-06,C0229,CUST07806,DEBIT,546.72,136.82,33.04
POS000193,19,11-03-2024 01:05 PM,C0315,,CASH,440.63,31.61,32.34
POS000194,3,21/01/2024 16:21,C0366,,Gift Card,545.47,117.6,50.15
POS000195,17,2024/11/18 20:33,C0041,CUST07826,DEBIT,1009.55,76.51,89.76
POS000196,5,06/03/2024 21:57,C0152,CUST09028,CREDIT,490.54,83.98,53.13
POS000197,30,01-24-2024 04:06 PM,C0238,CUST09314,DEBIT,489.67,63.42,43.7
POS000198,12,2024-05-10,,CUST07584,credit,663.59,142.74,49.6
POS000199,26,04-03-2024 12:02 PM,C0153,,Gift Card,568.43,2.57,50.75
POS000200,25,2024/12/09 14:39,C0471,CUST03067,Debit,740.23,81.64,75.62
POS000201,6,2024-02-10 23:38:16,C0010,,CREDIT,892.98,45.08,93.35
POS000202,1,03-28-2024 08:30 PM,C0495,CUST07975,DEBIT,867.77,201.38,91.82
POS000203,20,11-11-2024 11:44 AM,C0045,,Credit,1263.9,22.63,82.89
POS000204,7,2024-02-27 00:44:12,C0333,,Debit,799.31,116.36,56.79
POS000205,14,2024/11/16 17:12,C0076,CUST00358,CREDIT,885.23,24.87,85.5
POS000206,6,03-19-2024 11:44 PM,C0441,CUST03976,Debit,782.3,8.71,87.6
POS000207,10,2024-10-18 12:03:21,C0434,CUST06811,Gift Card,709.41,62.35,64.95
POS000208,24,2024/10/23 19:46,,,Mobile Pay,378.21,51.75,36.52
POS000209,19,11-09-2024 09:57 PM,C0032,CUST06915,Cash,1397.38,189.68,75.21
POS000210,18,02-02-2024 08:57 AM,C0060,CUST05682,Gift Card,1459.1,61.69,77.99
POS000211,23,11/08/2024 00:10,C0225,,Debit,786.03,66.48,57.81
POS000212,19,12-16-2024 10:58 AM,C0151,CUST06396,CASH,747.73,163.82,50.75
POS000213,27,12-10-2024 08:47 PM,C0433,,Debit,355.01,41.91,25.12
POS000214,10,12-19-2024 11:05 PM,C0103,,Gift Card,771.72,113.97,76.71
POS000215,4,31/07/2024 15:19,C0010,,DEBIT,533.99,49.46,52.52
POS000216,12,2024-12-12,,,CASH,372.95,88.72,23.03
POS000217,4,12/11/2024 07:07,C0175,CUST00765,Mobile Pay,423.46,13.82,29.72
POS000218,9,2024-03-18,C0362,,Gift Card,1317.77,248.9,124.96
POS000219,26,2024-08-22,C0440,CUST09216,Credit,209.78,57.81,21.77
POS000220,17,23/02/2024 05:40,C0081,CUST07234,Mobile Pay,797.31,14.12,72.1
POS000221,16,2024/02/20 04:41,C0063,CUST07195,CASH,444.76,40.78,41.08
POS000222,25,01-04-2024 07:53 AM,C0259,,DEBIT,537.48,91.14,49.88
POS000223,12,31/07/2024 11:40,C0386,CUST03739,credit,572.54,13.23,52.21
POS000224,26,08-07-2024 01:58 PM,C0265,CUST05928,Credit,1286.64,183.41,101.26
POS000225,15,2024-03-15,C0044,,CASH,747.24,181.93,70.11
POS000226,25,2024-03-25 13:03:25,C0329,,Credit,861.77,158.84,62.88
POS000227,21,12-04-2024 04:18 PM,C0359,CUST04987,Cash,614.87,164.25,46.39
POS000228,30,2024-06-25,C0076,CUST07311,Debit,187.22,30.39,16.21
POS000229,29,10-05-2024 07:50 PM,C0455,CUST06628,Debit,374.22,4.68,35.67
POS000230,29,2024/06/03 02:02,C0369,CUST02065,Mobile Pay,473.04,17.82,32.35
POS000231,18,2024-05-25,C0175,CUST02622,Credit,830.46,43.23,58.94
POS000232,1,2024/10/03 18:16,C0259,,Credit,601.69,91.49,62.2
POS000233,27,2024/07/09 08:40,C0388,CUST02044,Gift Card,1554.44,68.82,92.16
POS000234,10,2024/10/20 23:00,C0413,CUST09529,Mobile Pay,902.29,60.94,64.56
POS000235,28,2024/10/31 07:22,C0418,CUST02294,CASH,228.49,1.85,13.27
POS000236,17,2024-05-06,C0399,,CREDIT,931.03,13.16,97.02
POS000237,5,2024-12-30 13:53:26,,CUST02131,Gift Card,802.66,71.37,65.27
POS000238,7,2024-08-16,C0287,CUST06469,DEBIT,798.13,239.22,39.41
POS000239,19,09-12-2024 08:27 PM,C0214,CUST02365,Mobile Pay,1273.54,12.89,73.88
POS000240,5,2024-09-05,C0061,CUST07462,Gift Card,800.41,74.6,52.69
POS000241,2,2024-03-21 17:23:58,C0210,,Cash,255.54,46.92,18.83
POS000242,19,2024-05-28 01:33:09,C0192,,Gift Card,416.38,29.76,29.11
POS000243,1,03-14-2024 04:50 AM,,CUST04645,Debit,552.39,18.74,45.69
POS000244,6,2024/09/07 00:07,,,Gift Card,808.92,150.56,62.44
POS000245,19,2024/06/07 18:28,C0244,CUST09924,credit,526.1,42.25,32.94
POS000246,25,03-11-2024 04:40 PM,C0077,CUST05329,CREDIT,1064.3,127.55,100.42
POS000247,26,11-15-2024 09:39 PM,C0203,,Credit,736.44,89.81,81.16
POS000248,22,2024-08-14 23:17:41,C0363,,DEBIT,1109.19,7.98,118.49
POS000249,18,2024-11-26 03:41:35,C0317,CUST00867,Mobile Pay,554.0,58.89,60.15
POS000250,7,2024-08-31 16:57:01,C0273,,Credit,569.16,32.64,51.87
POS000251,9,2024-04-15,C0414,CUST05250,CASH,428.28,61.22,24.4
POS000252,19,2024-01-24 15:55:59,C0093,CUST08650,Cash,899.72,187.42,89.9
POS000253,13,2024-05-11,C0074,,CREDIT,152.69,15.71,16.44
POS000254,5,2024-06-06 13:43:10,C0167,,Credit,1186.4,92.5,116.8
POS000255,10,07-18-2024 03:20 AM,C0133,,CREDIT,774.09,209.86,84.0
POS000256,2,2024-04-13,C0261,CUST06309,CREDIT,971.41,216.66,109.52
POS000257,9,02-01-2024 10:29 AM,,,Debit,208.09,32.4,23.33
POS000258,30,2024-01-10 08:35:37,C0285,CUST02058,DEBIT,161.94,45.56,17.28
POS000259,19,2024-07-27,C0496,,Mobile Pay,1466.16,22.88,112.91
POS000260,6,2024-05-05,C0001,CUST04740,credit,806.49,228.23,87.0
POS000261,1,2024/01/31 15:17,C0195,CUST03486,Mobile Pay,690.11,116.98,66.36
POS000262,10,2024-01-24,,,CREDIT,933.84,271.77,74.27
POS000263,27,03-12-2024 11:35 PM,C0259,CUST05216,Cash,1290.77,178.06,104.35
POS000264,21,13/05/2024 22:28,C0165,,Gift Card,1690.76,173.18,93.22
POS000265,20,17/06/2024 00:58,C0002,CUST00071,Credit,585.47,149.29,40.99
POS000266,22,03-29-2024 01:35 PM,C0276,,CREDIT,337.89,29.35,34.89
POS000267,18,2024-01-16 21:28:43,C0417,,Cash,803.3,42.08,49.01
POS000268,13,03-31-2024 10:00 PM,C0099,CUST03630,Credit,1479.75,194.58,115.99
POS000269,25,2024/05/23 21:58,C0418,CUST04968,Debit,734.82,149.15,64.75
POS000270,8,09-09-2024 11:02 AM,C0362,CUST00117,Debit,414.15,87.63,43.46
POS000271,27,2024/11/22 12:07,C0253,,Debit,832.68,95.26,51.87
POS000272,22,2024-10-16,C0302,,CREDIT,680.26,41.17,61.15
POS000273,5,2024-05-12,C0141,,Credit,265.5,69.91,23.5
POS000274,23,2024-12-13,C0002,CUST00850,Cash,152.5,25.81,8.67
POS000275,14,2024-07-27,C0186,CUST00713,Debit,1264.51,277.35,107.85
POS000276,2,2024/05/22 13:34,,,CREDIT,593.63,16.15,62.51
POS000277,29,10-19-2024 12:47 AM,C0470,,credit,1048.68,172.24,61.2
POS000278,11,2024-06-08 02:40:40,,CUST00394,Cash,396.36,60.22,30.04
POS000279,27,08/05/2024 07:06,C0427,,Cash,763.39,139.74,78.3
POS000280,17,2024-05-01,C0049,CUST09486,CREDIT,627.86,25.68,63.55
POS000281,3,2024-02-01 01:24:20,C0032,CUST07241,Credit,694.02,17.11,70.5
POS000282,10,2024-11-08 20:27:04,C0287,,CASH,279.28,79.34,19.9
POS000283,13,19/02/2024 19:48,C0404,CUST00174,Gift Card,871.06,235.74,49.65
POS000284,13,2024-08-25,C0334,CUST00426,Gift Card,575.16,135.1,39.25
POS000285,17,2024-06-17 18:12:06,,CUST09714,Debit,617.17,54.99,54.83
POS000286,29,2024/10/20 04:40,C0247,CUST07285,credit,363.81,23.31,21.82
POS000287,8,2024/03/11 01:03,C0263,CUST05862,DEBIT,268.76,2.55,26.21
POS000288,19,2024/10/04 04:09,C0150,,Credit,1007.07,268.47,115.38
POS000289,17,2024-10-27 21:43:09,C0420,CUST00895,CASH,632.74,2.76,68.88
POS000290,12,10/04/2024 06:40,C0175,,Gift Card,713.85,192.35,71.41
POS000291,23,2024/12/20 14:38,C0290,CUST04910,CASH,587.71,125.91,60.14
POS000292,11,2024-03-24 03:29:56,C0472,,Debit,977.69,78.22,49.72
POS000293,23,27/04/2024 14:39,C0394,CUST05432,CASH,1866.99,289.81,211.21
POS000294,7,2024/07/23 05:52,,,Mobile Pay,332.65,56.1,28.46
POS000295,4,2024-03-13,C0185,,Credit,975.09,121.88,84.69
POS000296,7,2024/04/11 09:11,C0174,CUST04030,credit,309.09,59.68,19.62
POS000297,7,2024-01-12 05:53:16,,CUST06209,CREDIT,897.78,236.29,88.84
POS000298,11,2024/04/17 09:29,C0339,,Mobile Pay,513.59,25.07,37.26
POS000299,26,2024-11-15 13:56:45,C0452,CUST03108,Debit,967.98,214.15,84.69
POS000300,18,2024-07-12,C0326,,Credit,546.35,114.1,30.39
POS000301,25,2024-11-11,C0077,,Credit,412.54,99.59,23.58
POS000302,21,2024-05-23,C0108,CUST07712,CREDIT,840.02,27.21,84.22
POS000303,6,2024-09-17,C0266,CUST05273,Cash,717.83,112.26,47.85
POS000304,17,12-21-2024 03:45 PM,C0206,CUST09568,Credit,860.33,177.16,90.96
POS000305,7,22/04/2024 06:28,C0157,CUST06179,credit,410.12,78.87,46.45
POS000306,30,10/07/2024 08:35,C0152,CUST05761,Debit,1176.7,32.35,62.34
POS000307,19,2024/01/22 14:32,C0240,CUST06022,Gift Card,1393.29,18.74,116.85
POS000308,11,05-19-2024 12:01 PM,C0331,,CREDIT,1226.94,144.99,121.28
POS000309,10,2024-09-13 16:34:41,C0475,,CREDIT,521.34,75.98,30.36
POS000310,3,2024/07/03 01:34,C0169,,DEBIT,664.73,181.71,60.11
POS000311,7,2024-12-27,C0005,CUST04618,Cash,545.84,70.13,28.29
POS000312,26,2024-07-25 12:52:37,C0263,CUST02446,CASH,455.14,8.71,45.47
POS000313,8,04-26-2024 11:47 PM,C0301,CUST07680,Gift Card,420.64,75.65,48.17
POS000314,11,02-13-2024 10:54 AM,C0358,CUST07188,Gift Card,732.11,217.88,53.72
POS000315,28,2024-10-12,C0157,CUST00159,Gift Card,1474.28,158.82,167.64
POS017235,26,12-03-2024 11:21 AM,C0386,CUST08809,DEBIT,970.61,52.83,65.42
POS000317,11,2024-10-27 00:36:50,C0079,CUST05411,CASH,1090.15,293.14,77.39
POS000318,13,04-14-2024 12:04 PM,C0056,,Gift Card,492.92,41.07,29.56
POS000319,21,2024-06-04,C0424,CUST08006,Credit,440.98,117.15,47.67
POS000320,6,2024/04/11 02:58,C0150,CUST01147,Gift Card,469.11,11.19,30.8
POS000321,2,2024/07/07 16:00,C0211,,CREDIT,1334.4,22.18,112.77
