return_id,original_transaction_or_order_id,product_id,return_date,return_reason,refund_amount,quantity_returned,return_channel
RET000078,POS029801,146,11-04-2024,Defective,194.45,3,ECOM
RET000079,ECOM008209,60,2024-06-28,Changed mind,102.29,3,ECOM
RET000080,POS016885,1,07/08/2024,Late delivery,146.57,1,pos
RET000081,ECOM007954,157,05/06/2024,Defective,184.12,1,pos
RET000082,POS007927,229,12-12-2024,Size issue,63.79,3,POS
RET000083,ECOM007896,428,13/08/2024,Size issue,20.3,1,ECOM
RET000084,POS021804,113,2024-03-15,Damaged,31.74,3,ecom
RET000085,POS003708,200,19/03/2024,Changed mind,36.37,2,ECOM
RET000086,POS019186,276,2024-09-03,Defective,58.12,2,POS
RET000087,POS018216,266,22/05/2024,Defective,65.66,2,ecom
RET000088,POS025892,41,12-17-2024,Changed mind,40.29,3,ecom
RET000089,ECOM004533,380,29/03/2024,Size issue,69.61,2,pos
RET000090,ECOM009840,70,15/08/2024,Defective,143.7,2,pos
RET000091,POS013582,209,12-07-2024,Late delivery,126.66,3,ECOM
RET000092,POS004359,448,06/03/2024,asdf123,113.95,2,ECOM
RET000093,ECOM000279,177,13/01/2024,Damaged,100.28,2,ECOM
RET000094,POS010104,166,17/09/2024,Size issue,60.96,2,ecom
RET000095,POS013531,287,07/01/2024,Defective,181.45,3,ecom
RET000096,ECOM000043,188,02/04/2024,Defective,196.94,1,POS
RET000097,POS026889,244,,Size issue,57.85,1,ecom
RET000098,ECOM013415,491,08-29-2024,Damaged,149.05,2,ECOM
RET000099,POS025744,192,11-11-2024,Defective,152.99,1,ecom
RET000100,ECOM001891,437,10-13-2024,asdf123,68.78,2,POS
RET000101,POS001068,410,01-13-2024,Size issue,51.57,3,pos
RET000102,POS017664,17,2024-02-27,asdf123,104.08,1,ECOM
RET000103,ECOM004288,21,11-09-2024,Changed mind,53.27,1,pos
RET000104,ECOM011411,269,21/12/2024,Damaged,175.92,3,ecom
RET000105,POS009658,272,27/03/2024,Defective,62.57,3,pos
RET000106,POS000308,145,08-27-2024,Changed mind,85.51,1,ecom
RET000107,POS004232,224,2024-10-03,Changed mind,31.54,2,ECOM
RET000108,POS017123,392,2024-04-30,Late delivery,177.12,1,ECOM
RET000109,POS024348,264,02-16-2024,Damaged,153.8,1,pos
RET000110,POS012830,79,01-10-2024,Changed mind,73.85,1,pos
RET000111,POS014844,79,03-04-2024,Damaged,51.26,2,pos
RET000112,POS004918,42,,Changed mind,29.48,2,ECOM
RET000113,POS016352,418,03/05/2024,Late delivery,49.3,2,ECOM
RET000114,POS025981,431,2024-04-30,Damaged,159.02,2,ecom
RET000115,POS020255,330,2024-11-21,Damaged,183.66,1,pos
RET000116,ECOM013049,303,06-19-2024,,43.97,2,POS
RET000117,POS016607,244,2024-12-29,Defective,56.15,2,ecom
RET000118,POS017105,407,07-09-2024,Changed mind,56.5,1,POS
RET000119,POS019676,344,2024-04-04,Defective,106.23,1,ECOM
RET000120,ECOM001664,290,2024-06-16,Size issue,170.41,3,ecom
RET000121,POS022352,30,11/01/2024,Damaged,168.49,1,ECOM
RET000122,ECOM000334,333,10/09/2024,Changed mind,131.02,1,ecom
RET000123,POS003465,246,2024-07-31,Changed mind,54.96,1,ecom
RET000124,POS013603,229,,Defective,20.49,2,POS
RET000125,POS007022,254,2024-07-24,Defective,99.58,3,pos
RET000126,POS022178,258,01-14-2024,Changed mind,114.0,1,ECOM
RET000127,POS011784,444,20/01/2024,Size issue,107.62,2,ECOM
RET000128,POS009158,426,,Defective,42.25,2,ECOM
RET000129,ECOM004494,270,2024-03-11,Size issue,56.87,3,ECOM
RET000130,POS021570,226,2024-05-14,Changed mind,57.66,1,ECOM
RET000131,POS014542,379,11/03/2024,Damaged,45.03,1,POS
RET000132,ECOM009688,37,07-31-2024,Defective,163.05,1,pos
RET000133,POS008144,310,09-13-2024,Changed mind,22.4,3,POS
RET000134,POS018709,259,01-13-2024,???,82.43,2,pos
RET000135,ECOM010376,315,24/06/2024,Late delivery,81.12,1,POS
RET000136,POS002586,84,17/11/2024,Size issue,109.2,2,ecom
RET000137,POS012800,420,03/12/2024,Size issue,54.09,2,ECOM
RET000138,POS016076,37,26/07/2024,Changed mind,182.31,3,ECOM
RET000139,POS009700,375,2024-10-28,Size issue,162.32,2,ECOM
RET000140,POS010124,152,2024-06-16,Defective,106.48,1,POS
RET000141,POS008479,170,2024-08-28,N/A,125.97,2,ecom
RET000142,POS006247,419,2024-02-20,Size issue,167.59,1,POS
RET000143,ECOM003225,50,03-23-2024,Late delivery,157.07,1,POS
RET000144,POS006757,188,12-16-2024,Damaged,103.5,2,pos
RET000145,ECOM010036,215,23/02/2024,Late delivery,99.07,3,pos
RET000146,POS013335,407,24/01/2024,Changed mind,151.65,3,POS
RET000147,POS028195,186,09/04/2024,Changed mind,104.9,1,ECOM
RET000148,ECOM010708,424,29/12/2024,Size issue,180.08,2,POS
RET000149,POS029076,88,2024-08-28,Defective,35.11,3,POS
RET000150,ECOM006233,308,,Changed mind,154.41,3,ecom
RET000151,POS010121,318,2024-11-30,Size issue,109.17,3,ECOM
RET000152,POS016573,403,2024-01-31,Late delivery,59.08,1,POS
RET000153,ECOM002184,324,2024-02-07,Damaged,111.21,2,ecom
RET000154,POS001412,31,2024-02-21,Late delivery,87.93,1,ECOM
RET000155,ECOM003648,99,02/11/2024,Damaged,148.27,2,POS
RET000156,POS004789,322,21/12/2024,Defective,155.78,1,POS
RET000157,POS018378,415,16/03/2024,Damaged,66.89,2,ecom
RET000158,POS016056,36,07/10/2024,Changed mind,51.31,2,pos
RET000159,POS018318,140,14/07/2024,Late delivery,39.58,1,POS
RET000160,POS016852,134,26/08/2024,Size issue,146.73,2,POS
RET000161,ECOM014912,309,10-13-2024,Defective,41.35,2,ECOM
RET000162,POS022199,23,01-26-2024,Size issue,125.63,2,pos
RET000163,POS007866,386,19/01/2024,Changed mind,195.78,1,ECOM
RET000164,ECOM014409,97,12/07/2024,Late delivery,42.71,2,pos
RET000165,POS002243,16,2024-09-26,Defective,99.82,2,POS
RET000166,ECOM006777,164,01-29-2024,Changed mind,153.87,1,pos
RET000167,ECOM012456,99,01-17-2024,Damaged,185.02,3,ECOM
RET000168,POS020368,387,22/10/2024,Size issue,190.46,1,ecom
RET000169,POS009504,470,05-07-2024,Changed mind,134.63,2,POS
RET000170,ECOM006958,397,2024-04-19,Size issue,29.57,3,POS
RET000171,ECOM011014,350,04/07/2024,Changed mind,132.05,1,POS
RET000172,ECOM001270,409,2024-11-11,Defective,123.54,3,ECOM
RET000173,ECOM011951,75,03-24-2024,???,186.65,2,pos
RET000174,ECOM008924,70,12-02-2024,Defective,176.98,3,ECOM
RET000175,POS003899,399,2024-02-14,Defective,159.32,1,pos
RET000176,POS001843,374,13/12/2024,Defective,98.13,2,ECOM
RET000177,POS029009,359,02-11-2024,Defective,113.72,2,ecom
RET000178,POS004270,212,16/05/2024,Late delivery,154.85,3,ecom
RET000179,ECOM000402,93,29/07/2024,Changed mind,25.84,3,ecom
RET000180,ECOM011108,332,2024-02-08,Late delivery,125.98,2,pos
RET000181,ECOM014045,174,04-22-2024,Changed mind,110.82,2,pos
RET000182,POS007928,137,30/12/2024,Late delivery,186.05,2,ecom
RET000183,ECOM009707,130,01-20-2024,Defective,17.2,1,ecom
RET000184,POS000869,47,18/09/2024,Damaged,81.57,2,ecom
RET000185,ECOM010578,92,2024-09-23,N/A,98.31,3,ecom
RET000186,ECOM013812,76,2024-08-10,Late delivery,167.82,2,POS
RET000187,POS017421,112,30/09/2024,Defective,178.22,1,POS
RET000188,POS025964,194,28/10/2024,Late delivery,193.69,3,POS
RET000189,POS000506,477,12-06-2024,Damaged,152.23,2,ECOM
RET000190,POS026206,114,2024-07-06,Damaged,90.91,3,pos
RET000191,ECOM007939,395,27/02/2024,Defective,165.55,2,POS
RET000192,POS025764,276,2024-11-18,Late delivery,106.08,3,POS
RET000193,POS017115,219,03-14-2024,Damaged,137.83,3,POS
RET000194,POS012383,101,2024-08-21,Late delivery,11.03,1,POS
RET000195,POS029814,450,02/02/2024,Damaged,177.28,1,POS
RET000196,ECOM007037,58,08/04/2024,Size issue,70.93,1,ecom
RET000197,POS020930,378,2024-01-24,Late delivery,100.5,1,ecom
RET000198,POS020832,457,2024-01-05,Size issue,13.8,2,POS
RET000199,ECOM003312,300,06/05/2024,Late delivery,119.5,3,POS
RET000200,POS002386,55,09/01/2024,Damaged,86.19,1,pos
RET000201,POS017764,271,04-27-2024,Size issue,182.37,3,ecom
RET000202,ECOM006444,3,,N/A,77.13,1,POS
RET000203,POS007245,73,18/03/2024,Changed mind,158.23,3,POS
RET000204,ECOM011907,458,2024-03-04,Changed mind,142.41,3,ecom
RET000205,POS029023,366,2024-07-27,Size issue,58.82,3,ecom
RET000206,POS004336,2,09/05/2024,Defective,122.75,1,ecom
RET000207,ECOM002062,245,2024-12-13,Defective,43.69,3,pos
RET000208,POS010071,171,2024-10-21,Changed mind,188.33,1,ecom
RET000209,POS009387,229,2024-06-04,Defective,44.55,2,POS
RET000210,ECOM005185,63,15/02/2024,Changed mind,75.49,1,POS
RET000211,ECOM002364,245,08-08-2024,Changed mind,121.11,1,ECOM
RET000212,POS013102,475,04-18-2024,Defective,145.2,3,POS
RET000213,POS010389,191,09/11/2024,Late delivery,43.59,2,ECOM
RET000214,POS028741,497,02/09/2024,Changed mind,166.43,1,ecom
RET000215,POS027752,384,05/12/2024,Late delivery,12.26,3,ECOM
RET000216,ECOM012680,339,02-26-2024,Damaged,48.46,3,POS
RET000217,POS026962,109,2024-12-15,Size issue,118.55,1,ECOM
RET000218,POS011313,367,2024-01-18,Changed mind,34.7,1,ecom
RET000219,POS021787,103,28/02/2024,Late delivery,79.69,1,pos
RET000220,POS021485,171,24/10/2024,Late delivery,49.47,3,POS
RET000221,POS027848,366,2024-11-24,Damaged,144.4,3,POS
RET000222,POS004337,122,19/06/2024,Late delivery,32.87,1,pos
RET000223,POS003750,46,03/07/2024,Size issue,55.79,2,POS
RET000224,POS025668,407,12-12-2024,Defective,138.21,2,POS
RET000225,POS006721,40,17/03/2024,Changed mind,142.42,1,POS
RET000226,POS005776,280,2024-06-07,lorem ipsum,108.2,2,pos
RET000227,POS028613,50,2024-06-10,Size issue,82.46,2,ecom
RET000228,POS007122,177,2024-03-17,Damaged,96.63,2,ECOM
RET000229,ECOM009322,34,19/09/2024,Defective,172.43,3,pos
RET000230,POS001580,467,01/03/2024,asdf123,146.69,3,ECOM
RET000231,ECOM010632,32,2024-10-03,lorem ipsum,28.81,2,POS
RET000232,POS019856,428,02-13-2024,Size issue,139.6,1,pos
RET000233,POS026254,290,14/05/2024,Size issue,107.68,3,ecom
RET000234,POS013191,322,2024-01-12,Late delivery,120.1,1,ecom
RET000235,ECOM004499,333,24/05/2024,Size issue,19.6,2,ECOM
RET000236,POS006351,320,12-03-2024,Late delivery,184.96,1,POS
RET000237,POS016478,386,05-03-2024,Late delivery,120.63,1,ecom
RET000238,POS000319,236,08-24-2024,Defective,99.18,3,POS
RET000239,POS013624,248,10/12/2024,Late delivery,148.07,3,ecom
RET000240,POS028236,65,2024-01-01,Size issue,187.91,2,ecom
RET000241,POS006679,253,07-07-2024,Damaged,69.29,3,POS
RET000242,ECOM008811,465,09/03/2024,Changed mind,60.74,2,ECOM
RET000243,POS013364,356,2024-07-10,???,115.5,3,POS
RET000244,POS016860,121,2024-11-26,Defective,82.25,3,pos
RET000245,ECOM009008,392,2024-03-25,Damaged,172.27,3,ECOM
RET000246,POS024657,220,01-13-2024,Changed mind,149.26,3,ecom
RET000247,POS020402,170,2024-12-30,Late delivery,40.54,3,pos
RET000248,POS002721,319,2024-04-23,Size issue,95.53,3,pos
RET000249,POS023916,306,14/03/2024,Damaged,11.35,3,ecom
RET000250,POS024817,426,23/07/2024,Late delivery,180.37,1,pos
RET000251,POS021315,169,08-11-2024,Size issue,147.34,3,pos
RET000252,ECOM009769,398,2024-05-12,Defective,182.21,1,ecom
RET000253,ECOM011727,221,04/11/2024,Damaged,125.12,3,pos
RET000254,POS028446,497,01-01-2024,Changed mind,74.81,2,pos
RET000255,POS012063,48,2024-11-05,Changed mind,175.54,1,pos
RET000256,ECOM010378,162,2024-11-19,Damaged,196.18,2,POS
RET000257,ECOM004377,264,26/04/2024,Late delivery,137.62,3,POS
RET000258,ECOM001939,464,,Size issue,139.14,2,ecom
RET000259,POS011778,443,2024-02-07,Late delivery,20.93,3,pos
RET000260,POS016673,137,01/09/2024,Late delivery,85.47,1,POS
RET000261,ECOM013916,137,2024-06-06,Size issue,89.49,3,ecom
RET000262,ECOM011800,168,02-17-2024,Defective,49.61,1,pos
RET000263,POS005629,70,2024-02-20,Size issue,147.35,3,ECOM
RET000264,POS014426,459,13/02/2024,Late delivery,15.2,3,ECOM
RET000265,ECOM014659,388,14/08/2024,Damaged,146.11,3,ecom
RET000266,POS002343,303,05-13-2024,Damaged,142.05,1,pos
RET000267,ECOM011380,395,2024-01-28,Changed mind,24.07,1,POS
RET000268,POS026298,177,01-12-2024,Damaged,128.05,1,ECOM
RET000269,POS024970,301,2024-10-26,Changed mind,107.63,2,ecom
RET000270,ECOM002062,286,10-09-2024,Defective,39.35,2,ECOM
RET000271,POS013053,404,12-29-2024,Defective,126.04,3,POS
RET000272,POS004567,65,29/08/2024,Damaged,72.09,3,ECOM
RET000273,ECOM006577,241,09-13-2024,lorem ipsum,83.56,1,ECOM
RET000274,ECOM000663,350,16/07/2024,Late delivery,162.69,3,pos
RET000275,ECOM009177,450,2024-04-22,Changed mind,92.21,1,ECOM
RET000276,POS005312,307,11-18-2024,Damaged,35.43,2,pos
RET000277,POS011388,38,2024-01-08,Late delivery,168.31,1,ecom
RET000278,POS011102,145,2024-10-09,Late delivery,95.82,2,ECOM
RET000279,POS008369,38,2024-03-13,Changed mind,57.24,3,POS
RET000280,ECOM005949,324,2024-10-27,Changed mind,167.73,2,POS
RET000281,POS012688,416,02-24-2024,Changed mind,22.27,1,ecom
RET000282,POS007509,270,2024-05-12,Damaged,139.07,3,ECOM
RET000283,POS018259,478,2024-05-05,Size issue,61.59,3,ecom
RET000284,POS028561,58,2024-09-01,Damaged,141.5,1,pos
RET000285,ECOM013674,297,,Late delivery,24.59,3,pos
RET000286,POS015227,152,16/05/2024,Damaged,94.49,2,ecom
RET000287,POS021499,239,2024-03-07,Defective,145.2,2,ecom
RET000288,POS007398,223,15/04/2024,Damaged,168.1,3,pos
RET000289,POS010492,297,03-05-2024,Defective,72.05,3,ECOM
RET000290,ECOM004346,309,18/10/2024,Late delivery,32.0,3,pos
RET000291,ECOM005899,187,14/08/2024,Damaged,175.83,1,ecom
RET000292,POS025266,365,27/09/2024,Size issue,123.48,2,ECOM
RET000293,POS009047,459,2024-03-04,Defective,66.44,2,POS
RET000294,POS008085,33,2024-09-26,Damaged,23.42,2,ECOM
RET000295,POS016986,53,10-19-2024,???,17.78,2,ecom
RET000296,POS004873,347,2024-01-22,Late delivery,96.97,1,POS
RET000297,POS029453,137,,Defective,123.0,2,POS
RET000298,ECOM012876,466,2024-10-11,Changed mind,157.91,3,POS
RET000299,POS016291,223,06-13-2024,Late delivery,52.77,3,pos
RET000300,POS008540,349,08-18-2024,Defective,147.3,1,ECOM
RET000301,POS010541,159,29/02/2024,Defective,11.25,1,ECOM
RET000302,POS029139,466,02-20-2024,Defective,43.1,3,pos
RET000303,ECOM004435,301,02/09/2024,Late delivery,18.13,3,POS
RET000304,POS013684,360,08-10-2024,Defective,126.93,1,pos
RET000305,POS010415,436,24/03/2024,Size issue,29.31,3,ECOM
RET000306,POS005211,411,2024-06-18,Changed mind,32.78,1,pos
RET000307,POS027225,473,13/06/2024,Size issue,32.67,1,pos
RET000308,ECOM004421,284,18/03/2024,Changed mind,104.46,2,POS
RET000309,POS025710,402,2024-07-08,???,157.35,1,ecom
RET000310,POS003297,211,09-18-2024,N/A,56.22,1,ECOM
RET000311,ECOM000841,88,2024-09-25,Damaged,145.9,2,pos
RET000312,POS007527,400,02-10-2024,Late delivery,75.92,2,ecom
RET000313,POS013641,474,2024-05-28,Changed mind,84.13,2,ecom
RET000314,ECOM006400,207,2024-02-05,???,187.09,2,ecom
RET000315,POS024367,189,09-30-2024,Damaged,156.48,3,POS
RET000316,POS016514,213,20/09/2024,Changed mind,185.02,3,POS
RET000317,ECOM014282,302,04-30-2024,Late delivery,83.83,3,ecom
RET000318,ECOM002417,301,30/07/2024,Size issue,21.68,1,ECOM
RET000319,POS027813,490,2024-08-20,Changed mind,30.4,1,pos
RET000320,POS021102,419,10-11-2024,Damaged,72.71,2,ECOM
RET000321,POS012560,236,2024-10-06,Damaged,115.67,3,POS
RET000322,POS018054,49,2024-11-01,Late delivery,73.71,1,pos
RET000323,POS016970,147,2024-09-17,Changed mind,117.91,1,ecom
RET000324,POS017280,201,2024-07-12,Defective,91.79,2,pos
RET000325,ECOM008337,463,26/08/2024,Defective,12.15,3,ECOM
RET000326,POS010686,249,11-01-2024,Damaged,110.2,3,POS
RET000327,ECOM011456,216,2024-12-11,Defective,60.61,2,POS
RET000328,ECOM006252,158,07/03/2024,Late delivery,108.35,1,pos
RET000329,ECOM001187,113,2024-09-16,Size issue,31.27,1,pos
RET000330,POS008253,14,04-05-2024,Defective,13.06,3,POS
RET000331,POS018648,304,09/06/2024,Size issue,50.91,3,pos
RET000332,POS018781,130,24/02/2024,Changed mind,42.96,2,ecom
RET000333,POS020672,369,2024-07-08,Late delivery,53.15,2,ecom
RET000334,POS001784,490,30/07/2024,Defective,72.97,2,ecom
RET000335,ECOM001164,292,08-13-2024,lorem ipsum,35.66,2,ecom
RET000336,ECOM012625,438,02/03/2024,,136.43,3,ECOM
RET000337,POS006720,49,07-12-2024,Damaged,72.07,1,ECOM
RET000338,POS018029,77,27/02/2024,Size issue,12.69,3,ECOM
RET000339,POS022847,398,2024-05-06,Defective,96.2,2,ECOM
RET000340,ECOM014319,464,12-08-2024,Size issue,138.34,1,POS
RET000341,POS022826,406,24/05/2024,Defective,69.83,2,POS
RET000342,POS026740,251,2024-07-12,Defective,35.17,3,ECOM
RET000343,ECOM006317,244,2024-02-18,Changed mind,32.71,2,pos
RET000344,ECOM010398,171,2024-05-01,Defective,90.21,2,POS
RET000345,POS023370,3,17/07/2024,Late delivery,110.38,3,pos
RET000346,POS002988,413,12-11-2024,Size issue,11.47,3,pos
RET000347,POS014743,159,,Damaged,62.24,1,ECOM
RET000348,ECOM012001,342,08-15-2024,Size issue,187.54,3,POS
RET000349,POS015860,69,2024-07-28,Late delivery,41.91,3,pos
RET000350,POS027077,104,09/06/2024,Changed mind,149.05,3,ecom
RET000351,POS003280,289,07/10/2024,Size issue,176.61,2,POS
RET000352,POS000230,498,25/09/2024,Damaged,18.34,1,ecom
RET000353,POS005831,279,09-25-2024,Late delivery,95.59,3,ecom
RET000354,ECOM003710,236,2024-10-25,Size issue,180.49,2,POS
RET000355,POS002623,157,02-21-2024,Late delivery,125.69,2,ECOM
RET000356,POS005427,232,05-01-2024,lorem ipsum,44.78,3,POS
RET000357,POS029016,298,2024-12-28,Defective,175.41,2,pos
RET000358,ECOM001752,343,08/06/2024,Size issue,103.83,2,ECOM
RET000359,POS026502,207,03-23-2024,Defective,127.47,1,pos
RET000360,POS009479,191,2024-07-24,Size issue,38.9,2,ecom
RET000361,ECOM002265,60,2024-06-25,Defective,80.22,3,pos
RET000362,POS018983,463,09-18-2024,Damaged,187.33,2,POS
RET000363,POS011151,25,2024-12-14,Defective,81.2,1,ecom
RET000364,POS018707,392,11/01/2024,Defective,182.0,2,pos
RET000365,ECOM011943,66,07-04-2024,Size issue,185.25,2,ecom
RET000366,ECOM008006,112,2024-05-13,Late delivery,50.99,2,ECOM
RET000367,POS018209,220,10-04-2024,Changed mind,182.13,3,ECOM
RET000368,POS026658,45,12/03/2024,Size issue,161.24,1,POS
RET000369,POS013400,147,07-14-2024,lorem ipsum,113.51,1,pos
RET000370,POS020117,281,03/10/2024,Changed mind,190.88,3,pos
RET000371,POS017540,88,08-02-2024,Size issue,188.97,3,POS
RET000372,POS001434,68,03-06-2024,Late delivery,129.02,2,ecom
RET000373,ECOM014892,315,2024-07-01,Changed mind,175.1,1,ECOM
RET000374,ECOM006096,453,05/09/2024,???,37.63,3,POS
RET000375,ECOM006687,408,18/12/2024,Defective,53.61,3,ecom
RET000376,POS024263,183,2024-07-22,Late delivery,83.03,2,pos
RET000377,POS008566,370,22/07/2024,Defective,54.78,3,ECOM
RET000378,ECOM010965,47,2024-08-07,Size issue,65.71,1,pos
RET000379,POS024895,213,06/02/2024,Late delivery,104.59,1,pos
RET000380,POS008157,247,2024-09-24,Size issue,67.12,1,POS
RET000381,POS005238,179,12-07-2024,Damaged,132.93,2,pos
RET000382,POS005520,163,08-23-2024,Size issue,141.52,3,POS
RET000383,POS004575,43,2024-06-13,Changed mind,106.16,1,pos
RET000384,ECOM009315,73,2024-08-16,Late delivery,74.03,2,ECOM
RET000385,ECOM012469,269,2024-07-09,Changed mind,130.45,1,ecom
RET000386,POS017876,320,01-19-2024,lorem ipsum,62.51,1,ecom
RET000387,POS024411,137,2024-02-04,Defective,42.35,1,POS
RET000388,POS006818,123,07/02/2024,Damaged,97.25,3,POS
RET000389,ECOM003704,85,09-26-2024,Defective,149.79,3,POS
RET000390,POS028369,280,2024-09-06,Damaged,186.35,2,pos
RET000391,POS002985,311,11-17-2024,Size issue,19.18,1,ECOM
RET000392,POS001026,17,06-20-2024,Defective,155.44,2,ECOM
RET000393,ECOM002989,464,06/04/2024,Damaged,173.85,2,pos
RET000394,ECOM006090,129,12-20-2024,Changed mind,73.23,2,POS
RET000395,POS003382,202,10-05-2024,Defective,23.07,1,POS
RET000396,ECOM011219,319,2024-03-07,Size issue,58.17,3,POS
RET000397,POS005493,469,04-07-2024,Changed mind,30.79,1,POS
RET000398,POS026129,485,03-03-2024,Damaged,59.98,2,POS
RET000399,POS027163,135,10-05-2024,Late delivery,44.33,2,ecom
RET000400,POS011664,310,2024-11-12,Size issue,144.47,1,POS
RET000401,ECOM004947,301,2024-10-11,Size issue,17.02,2,pos
RET000402,POS020161,426,12-03-2024,Damaged,135.61,1,pos
RET000403,POS012432,365,2024-05-07,Damaged,22.73,1,ecom
RET000404,ECOM004588,167,07-27-2024,Size issue,40.97,3,ECOM
RET000405,ECOM002167,176,14/08/2024,Defective,73.55,3,pos
