order_id,customer_id,order_timestamp,order_status,channel,shipping_cost,total_amount,discount_amount,device_type,traffic_source
ECOM000020,CUST03566,2024-11-26 05:13:00,complete,WEB,7.57,372.64,51.68,Desktop,Direct
ECOM000021,CUST03399,10/24/2024 19:30,complete,MOBILE_APP,14.24,237.4,44.35,desktop,Google
ECOM000022,CUST04621,2024/06/13 10:22 AM,pending,WEB,0.92,219.76,38.36,desktop,Instagram
ECOM000023,CUST02317,2024-06-28 14:35:00,cancelled,MARKETPLACE,19.9,223.28,1.22,MOBILE,Email
ECOM000024,CUST11196,2024/02/06 05:41 PM,Cancelled,MOBILE_APP,13.88,393.28,74.35,Mobile,Google
ECOM000025,CUST00640,12/25/2024 10:05,Complete,WEB,3.12,344.64,46.92,mobile,Facebook
ECOM000026,CUST06554,2024-02-21 10:27:00,pending,WEB,7.29,222.65,37.79,MOBILE,Instagram
ECOM000027,CUST01536,2024/09/27 09:41 AM,completed,WEB,5.37,253.84,37.16,MOBILE,Instagram
ECOM000028,CUST06206,2024-06-30 07:03:00,PENDING,WEB,12.31,,,desktop,Email
ECOM000029,CUST10342,05/26/2024 21:56,Complete,MOBILE_APP,7.94,240.58,20.59,Desktop,Facebook
ECOM000030,CUST06543,01-02-2024 15:16,pending,WEB,4.63,198.39,1.21,MOBILE,Instagram
ECOM000031,CUST02011,19-09-2024 16:25,pending,MOBILE_APP,3.72,48.9,8.82,Tablet,Referral
ECOM000032,CUST08261,2024/04/09 09:59 PM,Completed,WEB,15.37,197.18,1.03,Desktop,Facebook
ECOM000033,CUST11334,11/18/2024 23:05,completed,MOBILE_APP,8.58,142.31,8.91,Desktop,Direct
ECOM000034,CUST02296,18-09-2024 14:28,Pending,MOBILE_APP,0.61,327.48,54.93,mobile,Referral
ECOM000035,CUST07628,2024/07/12 07:38 PM,completed,MOBILE_APP,19.11,377.06,61.85,mobile,Direct
ECOM000036,CUST10528,24-07-2024 10:41,CANCELLED,MOBILE_APP,13.68,281.63,23.81,Mobile,Facebook
ECOM000037,CUST02327,2024/02/07 10:18 AM,completed,MOBILE_APP,16.23,25.81,1.61,MOBILE,Referral
ECOM000038,CUST00113,2024/12/19 12:11 AM,COMPLETED,WEB,11.17,84.53,7.58,Tablet,Facebook
ECOM000039,CUST05765,2024/03/20 04:34 AM,Completed,WEB,11.46,150.58,20.61,desktop,Google
ECOM000040,CUST03694,22-04-2024 15:39,cancelled,MARKETPLACE,18.96,398.7,72.42,Desktop,Direct
ECOM000041,CUST07494,18-05-2024 19:46,Cancelled,MARKETPLACE,1.49,83.52,10.76,desktop,Email
ECOM000042,CUST10973,15-09-2024 01:46,Completed,WEB,4.58,117.69,7.42,Tablet,Facebook
ECOM000043,CUST07643,2024-04-23 03:13:00,cancelled,MOBILE_APP,3.32,38.53,7.14,mobile,Google
ECOM000044,CUST00646,2024/04/07 01:37 AM,PENDING,WEB,1.95,258.41,27.04,Desktop,Referral
ECOM000045,CUST02340,2024/12/12 03:19 PM,completed,WEB,10.38,275.06,20.09,desktop,Referral
ECOM000046,CUST06831,10/23/2024 21:28,CANCELLED,WEB,18.34,336.58,1.62,Tablet,Facebook
ECOM000047,CUST05927,19-03-2024 17:46,pending,WEB,9.63,,,desktop,Instagram
ECOM000048,CUST08860,2024-02-18 23:45:00,Pending,MARKETPLACE,19.14,,,desktop,Email
ECOM000049,CUST09093,2024-02-13 20:34:00,Complete,MOBILE_APP,8.73,390.84,3.2,MOBILE,Email
ECOM000050,CUST09035,2024-04-14 23:38:00,PENDING,MOBILE_APP,16.46,72.85,14.45,Desktop,Instagram
ECOM000051,CUST04273,2024/02/08 02:56 AM,complete,MOBILE_APP,18.23,,,MOBILE,Direct
ECOM000052,CUST05213,09/25/2024 14:02,COMPLETE,MARKETPLACE,10.84,204.37,6.12,Mobile,Facebook
ECOM000053,CUST07408,05-10-2024 00:45,COMPLETE,MARKETPLACE,6.69,183.85,29.3,Tablet,Facebook
ECOM000054,CUST09447,2024-04-21 18:13:00,cancelled,MARKETPLACE,10.12,312.1,15.64,Desktop,Direct
ECOM000055,CUST10158,2024/05/26 06:40 AM,completed,MOBILE_APP,16.39,217.42,5.04,mobile,Direct
ECOM000056,CUST04394,2024/06/28 03:04 PM,COMPLETED,MOBILE_APP,4.75,,,Mobile,Direct
ECOM000057,CUST01044,2024-05-27 16:33:00,complete,MARKETPLACE,15.91,223.07,14.93,MOBILE,Facebook
ECOM000058,CUST02230,24-08-2024 11:47,COMPLETE,WEB,1.8,187.4,3.74,mobile,Google
ECOM000059,CUST09081,2024-11-09 10:57:00,Cancelled,WEB,8.99,246.85,10.86,MOBILE,Referral
ECOM000060,CUST01304,2024/03/14 03:44 AM,COMPLETED,MARKETPLACE,18.74,223.22,26.79,Desktop,Direct
ECOM000061,CUST06840,2024-06-29 15:29:00,pending,MARKETPLACE,8.41,275.41,1.19,MOBILE,Direct
ECOM000062,CUST04586,2024/11/18 09:40 AM,COMPLETED,WEB,17.04,186.28,23.04,Desktop,Referral
ECOM000063,CUST07085,2024-07-19 22:34:00,COMPLETED,MARKETPLACE,0.06,35.68,0.98,Desktop,Facebook
ECOM000064,CUST03167,2024-09-30 00:22:00,PENDING,WEB,12.32,207.11,8.27,mobile,Google
ECOM000065,CUST00997,11-12-2024 21:41,completed,WEB,19.25,378.07,29.29,Mobile,Instagram
ECOM000066,CUST09685,2024-03-02 10:24:00,cancelled,WEB,19.84,145.08,13.69,mobile,Google
ECOM000067,CUST04074,11-09-2024 23:34,cancelled,MOBILE_APP,10.12,218.87,39.22,Mobile,Google
ECOM000068,CUST08400,2024/10/23 01:08 PM,COMPLETED,WEB,6.86,342.65,16.34,Mobile,Google
ECOM000069,CUST00009,10/15/2024 00:39,CANCELLED,WEB,8.28,64.29,6.51,Tablet,Referral
ECOM000070,CUST09813,05/22/2024 07:54,Completed,WEB,6.52,381.33,17.5,Mobile,Email
ECOM000071,CUST09650,2024-01-28 09:19:00,CANCELLED,MARKETPLACE,15.52,,,mobile,Google
ECOM000072,CUST07335,11-12-2024 01:07,Completed,MARKETPLACE,0.64,91.41,8.69,desktop,Direct
ECOM000073,CUST07996,07/02/2024 00:21,completed,WEB,15.88,273.6,45.3,desktop,Google
ECOM000074,CUST11907,26-11-2024 05:28,completed,MOBILE_APP,4.59,38.82,4.49,Mobile,Facebook
ECOM000075,CUST10014,27-10-2024 07:38,Pending,MOBILE_APP,8.74,197.65,14.43,desktop,Direct
ECOM000076,CUST08445,29-02-2024 15:35,cancelled,MARKETPLACE,3.12,81.76,13.0,desktop,Direct
ECOM000077,CUST02395,2024-09-10 01:34:00,pending,WEB,11.13,109.64,7.82,Mobile,Direct
ECOM000078,CUST10636,03/19/2024 18:13,cancelled,MARKETPLACE,9.01,296.38,6.81,Tablet,Direct
ECOM000079,CUST11989,2024/07/13 06:09 PM,pending,MARKETPLACE,13.38,46.89,0.81,Mobile,Instagram
ECOM000080,CUST06903,07-08-2024 21:17,Pending,MARKETPLACE,16.83,321.98,30.04,Tablet,Direct
ECOM000081,CUST11342,2024/03/22 04:07 AM,cancelled,WEB,1.08,129.35,15.8,Desktop,Google
ECOM000082,CUST10850,2024/02/19 07:58 AM,completed,MOBILE_APP,5.41,371.56,23.32,Desktop,Instagram
ECOM000083,CUST08406,19-05-2024 14:32,cancelled,WEB,3.22,79.79,9.76,Mobile,Instagram
ECOM000084,CUST06668,2024-02-07 05:44:00,cancelled,MARKETPLACE,3.23,372.04,1.69,MOBILE,Referral
ECOM000085,CUST07501,07-10-2024 20:58,pending,WEB,14.02,303.07,11.34,MOBILE,Instagram
ECOM000086,CUST11648,2024/10/09 04:33 PM,cancelled,MOBILE_APP,8.2,197.47,7.94,MOBILE,Instagram
ECOM000087,CUST03891,08/05/2024 15:05,completed,WEB,19.29,,,Tablet,Google
ECOM000088,CUST03482,02/02/2024 06:54,completed,MARKETPLACE,11.64,,,Desktop,Google
ECOM000089,CUST03093,2024/09/11 12:07 PM,COMPLETED,MOBILE_APP,4.37,193.45,27.8,Tablet,Instagram
ECOM000090,CUST05030,23-11-2024 21:06,pending,MARKETPLACE,11.41,167.57,10.49,Mobile,Referral
ECOM000091,CUST01834,2024-08-29 00:36:00,complete,WEB,18.3,162.55,0.16,Desktop,Referral
ECOM000092,CUST02107,23-10-2024 16:53,Complete,WEB,5.33,386.39,3.7,MOBILE,Direct
ECOM000093,CUST01487,2024-02-06 08:46:00,Cancelled,MARKETPLACE,3.16,157.3,5.41,Desktop,Referral
ECOM000094,CUST08436,2024/08/06 09:13 AM,completed,MOBILE_APP,19.08,133.47,7.55,desktop,Google
ECOM000095,CUST02935,05/16/2024 23:07,Complete,WEB,6.47,327.97,29.84,desktop,Email
ECOM000096,CUST00899,11/20/2024 06:59,completed,MARKETPLACE,11.42,317.75,0.86,Tablet,Facebook
ECOM000097,CUST09469,2024-01-01 08:11:00,completed,MOBILE_APP,1.43,44.29,7.74,desktop,Instagram
ECOM000098,CUST07945,18-02-2024 22:57,Complete,WEB,0.2,196.4,13.09,Tablet,Instagram
ECOM000099,CUST03492,2024-07-06 13:22:00,completed,MARKETPLACE,19.51,74.78,1.36,mobile,Facebook
ECOM000100,CUST01848,2024/02/01 06:29 AM,Completed,MOBILE_APP,9.11,298.14,57.95,mobile,Instagram
ECOM000101,CUST04793,2024-10-11 06:11:00,Completed,WEB,12.28,58.83,0.4,mobile,Facebook
ECOM000102,CUST10031,23-07-2024 05:53,complete,MOBILE_APP,8.86,104.25,8.4,Desktop,Instagram
ECOM000103,CUST02516,14-12-2024 20:12,completed,WEB,2.61,110.63,7.89,Mobile,Email
ECOM000104,CUST10452,22-09-2024 14:44,cancelled,MARKETPLACE,19.87,127.16,24.96,Mobile,Referral
ECOM000105,CUST11898,2024/02/17 07:20 PM,COMPLETE,MARKETPLACE,16.25,195.18,36.35,Desktop,Google
ECOM000106,CUST06720,07/12/2024 18:59,Cancelled,MOBILE_APP,7.34,116.44,7.17,MOBILE,Email
ECOM000107,CUST02979,15-11-2024 15:48,pending,MARKETPLACE,7.04,133.63,24.65,desktop,Instagram
ECOM000108,CUST01857,08/09/2024 05:39,completed,MARKETPLACE,9.04,219.28,5.81,Desktop,Email
ECOM000109,CUST06731,15-06-2024 02:15,Pending,WEB,15.76,285.17,11.77,Desktop,Google
ECOM000110,CUST08446,04/27/2024 04:57,Completed,WEB,13.07,332.1,56.61,Tablet,Google
ECOM000111,CUST04125,2024/06/09 11:14 AM,complete,WEB,17.88,263.46,19.17,Tablet,Referral
ECOM000112,CUST11958,02-10-2024 19:05,COMPLETED,MARKETPLACE,8.89,76.84,1.75,Mobile,Facebook
ECOM000113,CUST03958,2024-07-07 22:51:00,Pending,MARKETPLACE,3.31,251.56,31.5,Desktop,Google
ECOM000114,CUST06095,05/01/2024 18:02,Completed,MOBILE_APP,0.04,271.26,43.5,MOBILE,Google
ECOM000115,CUST10856,2024-01-16 13:48:00,Cancelled,MOBILE_APP,0.34,73.3,6.46,mobile,Instagram
ECOM000116,CUST08390,2024-07-18 15:51:00,completed,WEB,13.74,342.5,16.97,MOBILE,Direct
ECOM000117,CUST02197,01/05/2024 12:51,Cancelled,MOBILE_APP,11.45,388.86,77.21,Desktop,Email
ECOM000118,CUST11044,2024-06-25 00:27:00,completed,WEB,15.86,191.86,13.39,MOBILE,Direct
ECOM000119,CUST05359,2024/11/25 11:56 PM,completed,MOBILE_APP,15.49,213.77,18.53,MOBILE,Google
ECOM000120,CUST00738,2024/02/16 09:08 PM,CANCELLED,WEB,18.93,170.13,22.8,desktop,Instagram
ECOM000121,CUST05534,08-03-2024 00:57,cancelled,MARKETPLACE,8.31,240.45,36.16,mobile,Facebook
ECOM000122,CUST08747,2024-01-16 16:06:00,COMPLETE,WEB,8.45,225.68,9.49,Desktop,Direct
ECOM000123,CUST08922,2024-03-13 14:59:00,Pending,WEB,13.53,179.25,5.31,MOBILE,Referral
ECOM000124,CUST09841,2024/04/25 08:43 AM,completed,MARKETPLACE,0.66,281.9,4.71,Desktop,Email
ECOM000125,CUST10691,06/02/2024 05:39,Complete,MARKETPLACE,2.98,40.67,8.13,Tablet,Direct
ECOM000126,CUST05728,2024-06-19 04:14:00,completed,MARKETPLACE,17.98,,,Tablet,Facebook
ECOM000127,CUST05359,2024/01/21 04:37 PM,completed,WEB,4.61,370.83,23.35,Tablet,Email
ECOM000128,CUST06029,21-06-2024 20:02,Completed,WEB,1.55,231.24,45.68,Desktop,Google
ECOM000129,CUST02963,2024/11/05 11:42 AM,Pending,MARKETPLACE,2.83,361.94,18.64,Desktop,Email
ECOM000130,CUST10275,22-05-2024 19:58,pending,MARKETPLACE,0.08,156.91,6.12,Mobile,Instagram
ECOM000131,CUST10269,2024-09-19 23:31:00,PENDING,MOBILE_APP,10.59,280.32,24.83,Mobile,Email
ECOM000132,CUST09111,12/25/2024 05:05,COMPLETE,MOBILE_APP,0.42,391.68,38.33,desktop,Direct
ECOM000133,CUST10387,13-01-2024 05:07,CANCELLED,MOBILE_APP,12.76,248.97,12.97,Desktop,Google
ECOM000134,CUST08989,06/27/2024 00:16,completed,WEB,9.59,,,Tablet,Direct
ECOM000135,CUST00324,2024/10/16 06:53 AM,completed,WEB,7.77,398.44,26.44,MOBILE,Referral
ECOM000136,CUST00602,2024/05/26 10:48 AM,completed,MOBILE_APP,3.0,42.0,6.6,mobile,Facebook
ECOM000137,CUST08241,09-01-2024 02:50,pending,WEB,2.26,336.81,50.18,MOBILE,Facebook
ECOM000138,CUST10254,2024/08/26 11:48 PM,pending,MARKETPLACE,5.3,32.16,0.09,Mobile,Google
ECOM000139,CUST03651,01/15/2024 12:49,COMPLETED,MARKETPLACE,13.88,359.16,59.56,Mobile,Direct
ECOM000140,CUST00043,2024/05/08 10:24 AM,completed,MOBILE_APP,14.37,152.43,30.41,MOBILE,Direct
ECOM000141,CUST01916,2024-06-27 00:54:00,COMPLETED,WEB,17.32,89.57,5.56,desktop,Referral
ECOM000142,CUST07917,24-03-2024 08:15,COMPLETE,MOBILE_APP,8.87,125.61,22.13,Tablet,Direct
ECOM000143,CUST04286,2024/12/01 09:09 AM,Complete,WEB,13.27,277.7,31.84,MOBILE,Referral
ECOM000144,CUST02610,01/29/2024 11:54,Cancelled,WEB,5.5,246.67,10.53,Mobile,Direct
ECOM000145,CUST08590,07/17/2024 09:40,completed,MARKETPLACE,11.24,259.87,51.45,Mobile,Instagram
ECOM000146,CUST03916,2024-07-26 11:28:00,Completed,MARKETPLACE,14.21,185.76,26.15,Tablet,Google
ECOM000147,CUST03001,2024/11/02 11:28 AM,cancelled,MARKETPLACE,16.92,340.64,1.34,MOBILE,Google
ECOM000148,CUST08764,04/28/2024 08:05,COMPLETE,WEB,8.31,220.29,33.92,Tablet,Google
ECOM000149,CUST07685,08/16/2024 15:43,Pending,MARKETPLACE,6.8,389.88,62.0,Mobile,Instagram
ECOM000150,CUST10751,06/01/2024 00:56,completed,WEB,18.04,191.3,22.6,Tablet,Facebook
ECOM000151,CUST09264,10/30/2024 16:00,completed,WEB,16.55,345.41,13.09,Desktop,Direct
ECOM000152,CUST10945,26-02-2024 01:09,Cancelled,WEB,7.36,,,Mobile,Instagram
ECOM000153,CUST11796,06/18/2024 04:28,pending,MARKETPLACE,14.77,258.17,28.88,mobile,Email
ECOM000154,CUST05716,2024-06-04 17:43:00,Complete,MOBILE_APP,6.2,319.21,32.17,Mobile,Facebook
ECOM000155,CUST07642,2024-10-14 03:14:00,Completed,MOBILE_APP,1.99,,,mobile,Google
ECOM000156,CUST07111,04/03/2024 05:48,Completed,WEB,14.02,169.46,10.46,mobile,Google
ECOM000157,CUST07076,2024/06/27 12:12 AM,cancelled,MARKETPLACE,10.12,358.1,30.61,Mobile,Email
ECOM000158,CUST06952,2024-07-07 08:08:00,completed,MARKETPLACE,6.68,,,mobile,Instagram
ECOM000159,CUST05209,2024-12-11 19:20:00,COMPLETE,WEB,14.07,76.39,9.76,mobile,Direct
ECOM000160,CUST03637,2024/11/30 03:42 PM,completed,WEB,18.9,379.09,4.35,mobile,Referral
ECOM000161,CUST06710,2024-07-09 15:23:00,COMPLETE,MOBILE_APP,19.12,203.92,2.48,mobile,Instagram
ECOM000162,CUST07888,04-09-2024 00:28,Complete,MARKETPLACE,18.88,172.54,2.19,Tablet,Instagram
ECOM000163,CUST09640,17-07-2024 00:45,CANCELLED,MOBILE_APP,8.3,29.61,0.87,mobile,Direct
ECOM000164,CUST05082,2024/10/04 11:14 PM,Pending,MOBILE_APP,8.62,255.7,28.85,Mobile,Direct
ECOM000165,CUST09975,20-12-2024 14:58,Complete,MARKETPLACE,8.4,130.11,7.48,Mobile,Email
ECOM000166,CUST00635,2024-10-30 10:32:00,pending,MOBILE_APP,8.27,170.12,2.79,Desktop,Facebook
ECOM000167,CUST01994,13-04-2024 01:29,Cancelled,WEB,10.34,178.56,22.79,Mobile,Direct
ECOM000168,CUST04241,09-07-2024 13:53,pending,WEB,16.63,79.44,13.72,Mobile,Instagram
ECOM000169,CUST09033,2024-07-14 19:00:00,completed,MARKETPLACE,13.54,35.93,1.26,Tablet,Referral
ECOM000170,CUST01771,2024-11-12 13:03:00,complete,MOBILE_APP,18.59,382.36,22.24,desktop,Referral
ECOM000171,CUST05793,26-10-2024 04:00,pending,MARKETPLACE,10.89,160.28,8.93,desktop,Instagram
ECOM000172,CUST11063,10/23/2024 01:38,cancelled,MARKETPLACE,7.84,49.92,3.6,Tablet,Referral
ECOM000173,CUST10079,08/17/2024 01:56,Cancelled,WEB,2.99,37.3,7.36,Mobile,Facebook
ECOM000174,CUST11275,02-02-2024 07:50,CANCELLED,WEB,9.89,223.44,1.76,Mobile,Facebook
ECOM000175,CUST08967,25-08-2024 00:35,Pending,MARKETPLACE,18.77,319.63,15.95,Mobile,Direct
ECOM000176,CUST01787,09/20/2024 04:53,Complete,WEB,14.69,36.52,3.23,MOBILE,Referral
ECOM000177,CUST09431,13-03-2024 03:54,completed,MOBILE_APP,18.02,226.98,26.94,MOBILE,Referral
ECOM000178,CUST09016,21-02-2024 11:13,cancelled,MARKETPLACE,10.09,103.62,17.2,desktop,Direct
ECOM000179,CUST09623,2024/10/29 03:48 PM,completed,WEB,10.5,144.03,18.9,Desktop,Instagram
ECOM000180,CUST09157,2024/08/28 10:14 PM,cancelled,WEB,0.03,324.06,14.05,Desktop,Email
ECOM000181,CUST00278,03/02/2024 09:36,cancelled,WEB,3.21,291.44,45.48,Tablet,Google
ECOM000182,CUST08938,14-06-2024 04:59,completed,WEB,9.67,293.5,2.37,mobile,Facebook
ECOM000183,CUST10352,2024/08/24 07:25 PM,CANCELLED,MARKETPLACE,7.46,308.82,28.18,Desktop,Direct
ECOM000184,CUST01907,04/07/2024 03:47,Pending,MOBILE_APP,4.94,118.78,7.2,Tablet,Google
ECOM000185,CUST10337,12/09/2024 13:49,completed,MOBILE_APP,10.9,253.19,36.82,Desktop,Referral
ECOM000186,CUST11383,2024-05-15 23:17:00,CANCELLED,WEB,13.83,354.73,59.11,MOBILE,Direct
ECOM000187,CUST08120,2024-03-27 22:10:00,complete,MARKETPLACE,18.81,,,mobile,Email
ECOM000188,CUST09248,03/07/2024 06:34,COMPLETED,MARKETPLACE,16.12,186.49,10.12,MOBILE,Facebook
ECOM000189,CUST06262,02/19/2024 07:38,CANCELLED,MARKETPLACE,13.03,230.59,37.7,Desktop,Google
ECOM000190,CUST01840,18-03-2024 02:25,CANCELLED,WEB,7.52,103.0,4.82,Mobile,Google
ECOM000191,CUST00028,18-04-2024 12:16,COMPLETE,MOBILE_APP,7.21,176.65,11.75,Tablet,Instagram
ECOM000192,CUST09237,01-03-2024 11:18,Cancelled,WEB,2.19,231.34,16.59,Tablet,Instagram
ECOM000193,CUST00290,2024-06-25 19:25:00,COMPLETE,WEB,13.03,394.89,72.52,Desktop,Instagram
ECOM000194,CUST04732,11/01/2024 18:29,CANCELLED,MOBILE_APP,14.38,,,mobile,Facebook
ECOM000195,CUST06066,2024-08-22 02:33:00,PENDING,WEB,8.52,208.09,20.73,MOBILE,Referral
ECOM000196,CUST02295,09/01/2024 03:38,pending,MOBILE_APP,3.31,206.77,38.04,mobile,Email
ECOM000197,CUST10658,01/01/2024 13:05,COMPLETE,MARKETPLACE,8.83,344.42,8.24,Tablet,Direct
ECOM000198,CUST09944,03/13/2024 16:21,completed,MOBILE_APP,6.82,,,MOBILE,Email
ECOM000199,CUST00003,03/29/2024 05:28,pending,WEB,4.57,126.67,1.98,mobile,Facebook
ECOM000200,CUST10320,2024-01-04 19:00:00,Pending,MARKETPLACE,1.98,84.71,5.46,MOBILE,Facebook
ECOM000201,CUST10692,16-08-2024 04:38,pending,WEB,16.4,346.92,60.29,Desktop,Direct
ECOM000202,CUST09991,11/07/2024 20:08,cancelled,MOBILE_APP,4.42,24.33,0.16,Tablet,Facebook
ECOM000203,CUST01826,2024-01-31 09:39:00,completed,MARKETPLACE,16.65,364.45,55.34,MOBILE,Google
ECOM000204,CUST06936,05-05-2024 00:14,cancelled,MOBILE_APP,12.75,352.49,21.52,desktop,Referral
ECOM000205,CUST06611,25-07-2024 11:13,cancelled,MOBILE_APP,13.55,49.59,6.67,Tablet,Direct
ECOM000206,CUST09440,05/16/2024 07:27,completed,MARKETPLACE,16.66,,,MOBILE,Google
ECOM000207,CUST01484,12/22/2024 13:57,completed,WEB,16.89,350.61,24.92,mobile,Google
ECOM000208,CUST06280,22-03-2024 19:09,Cancelled,MARKETPLACE,7.77,,,desktop,Instagram
ECOM000209,CUST06975,10/15/2024 19:18,COMPLETED,WEB,5.97,129.96,6.3,Tablet,Direct
ECOM000210,CUST11305,2024/06/27 07:27 AM,pending,WEB,5.66,212.38,8.7,Desktop,Referral
ECOM000211,CUST01351,2024-11-11 17:06:00,cancelled,MOBILE_APP,7.88,,,desktop,Direct
ECOM000212,CUST00788,2024-02-06 04:45:00,completed,WEB,19.09,323.03,2.11,Tablet,Email
ECOM000213,CUST07212,11-12-2024 14:46,COMPLETE,MARKETPLACE,3.14,,,Tablet,Referral
ECOM000214,CUST11530,12/18/2024 19:52,cancelled,MOBILE_APP,5.92,318.97,1.66,Tablet,Direct
ECOM000215,CUST01343,10/11/2024 22:17,Pending,MOBILE_APP,18.98,306.32,16.11,Desktop,Email
ECOM000216,CUST06969,13-04-2024 07:49,PENDING,MARKETPLACE,4.54,,,Tablet,Instagram
ECOM000217,CUST01100,2024/10/11 06:26 PM,Completed,MOBILE_APP,7.2,103.83,15.56,Desktop,Direct
ECOM000218,CUST04182,05/25/2024 19:05,completed,MOBILE_APP,4.99,309.72,12.97,desktop,Direct
ECOM000219,CUST06133,24-09-2024 15:25,Cancelled,WEB,1.2,358.02,3.98,Mobile,Google
ECOM000220,CUST05876,2024/04/23 01:42 PM,completed,MARKETPLACE,0.13,333.58,57.45,Tablet,Referral
ECOM000221,CUST02377,2024/11/07 02:31 AM,COMPLETED,MOBILE_APP,16.54,128.62,16.46,Mobile,Email
ECOM000222,CUST09022,10/04/2024 01:22,Complete,MOBILE_APP,2.78,264.56,3.26,Mobile,Direct
ECOM000223,CUST07029,09/26/2024 15:32,PENDING,MOBILE_APP,14.8,240.1,29.06,Tablet,Email
ECOM000224,CUST00811,2024-11-27 13:33:00,pending,WEB,5.83,137.76,6.16,Mobile,Instagram
ECOM000225,CUST01898,05/20/2024 22:16,pending,MOBILE_APP,1.77,252.16,25.89,MOBILE,Facebook
ECOM000226,CUST11879,05/23/2024 19:05,Complete,WEB,6.69,265.83,9.6,MOBILE,Direct
ECOM000227,CUST11127,13-05-2024 14:15,Completed,WEB,5.16,337.75,4.08,desktop,Google
ECOM000228,CUST06063,2024-11-29 17:05:00,COMPLETED,MOBILE_APP,13.31,69.93,12.82,Desktop,Google
ECOM000229,CUST05011,07-09-2024 23:00,COMPLETE,MOBILE_APP,12.62,244.56,35.17,desktop,Google
ECOM000230,CUST11547,08-03-2024 11:38,completed,WEB,4.28,242.3,26.42,Desktop,Referral
ECOM000231,CUST07552,2024/04/25 05:46 AM,PENDING,MOBILE_APP,11.85,44.44,4.42,mobile,Instagram
ECOM000232,CUST11998,2024/07/28 02:45 AM,COMPLETE,WEB,4.64,172.21,25.01,Tablet,Direct
ECOM000233,CUST08631,2024-01-09 02:09:00,Complete,MOBILE_APP,16.62,266.98,37.87,Mobile,Referral
ECOM000234,CUST10007,2024/06/03 02:49 PM,CANCELLED,MOBILE_APP,1.94,313.55,47.29,Desktop,Referral
ECOM000235,CUST06529,20-11-2024 19:51,PENDING,MOBILE_APP,15.9,115.88,14.91,Tablet,Direct
ECOM000236,CUST00920,2024-05-16 11:27:00,cancelled,MOBILE_APP,3.19,250.27,45.93,MOBILE,Referral
ECOM000237,CUST09605,2024-04-22 20:14:00,complete,WEB,14.23,58.34,7.03,desktop,Direct
ECOM000238,CUST07944,20-04-2024 19:41,COMPLETE,MARKETPLACE,16.78,391.57,35.62,Desktop,Email
ECOM000239,CUST11109,2024/03/04 08:11 AM,completed,WEB,2.84,58.03,1.31,MOBILE,Google
ECOM000240,CUST01648,28-01-2024 06:23,COMPLETE,MOBILE_APP,6.9,80.43,14.89,Mobile,Referral
ECOM000241,CUST00397,31-05-2024 19:08,completed,WEB,19.54,342.1,19.56,Mobile,Email
ECOM000242,CUST10744,2024/01/23 04:18 PM,completed,MARKETPLACE,7.84,370.47,20.28,MOBILE,Email
ECOM000243,CUST03187,01-08-2024 12:59,complete,WEB,0.66,,,mobile,Instagram
ECOM000244,CUST06756,03/28/2024 03:06,Complete,WEB,18.65,148.02,11.68,MOBILE,Facebook
